"Title","SJR","H index","Total Docs. (2017)","Total Docs. (3years)","Total Refs.","Total Cites (3years)","Citable Docs. (3years)","Cites / Doc. (2years)","Ref. / Doc.","Impact Factor"
"International Journal of Cooperative Information Systems",256,41,15,47,1019,43,41,0.85,67.93,0.2
"Automatika",166,16,28,153,671,75,144,0.44,23.96,0.217
"Journal of the Institute of Telecommunications Professionals",116,12,34,99,77,13,76,0.3,2.26,0.229
,150,29,14,38,799,15,38,0.46,57.07,0.231
"Transinformacao",192,4,31,88,992,28,83,0.27,32,0.255
"Electronics and Communications in Japan",128,10,90,307,1524,75,307,0.24,16.93,0.261
"Programming and Computer Software",224,13,42,130,829,68,129,0.49,19.74,0.267
"Romanian Journal of Information Science and Technology",144,12,13,83,353,36,80,0.38,27.15,0.288
"Journal of Web Engineering",157,10,29,69,1045,41,66,0.63,36.03,0.311
"ICGA Journal",124,13,20,58,144,8,53,0.23,7.2,0.313
"Cryptologia",127,14,34,78,544,27,78,0.33,16,0.326
"Journal of Information Science and Engineering",160,32,4,310,134,161,310,0.5,33.5,0.327
"Applied Categorical Structures",490,23,67,131,1152,61,128,0.34,17.19,0.329
"ACM Transactions on Asian and Low-Resource Language Information Processing",103,2,24,16,985,7,14,0.5,41.04,0.339
"International Journal of Foundations of Computer Science",355,33,59,189,1283,106,180,0.4,21.75,0.353
"Problems of Information Transmission",353,15,35,94,462,43,91,0.45,13.2,0.359
"Imaging Science Journal",153,19,51,151,1143,92,150,0.47,22.41,0.366
"LMS Journal of Computation and Mathematics",229,8,5,135,32,105,132,0.56,6.4,0.395
"Data Base for Advances in Information Systems",260,50,26,54,1443,30,40,0.46,55.5,0.4
"International Journal of Web Services Research",150,24,18,56,612,47,56,0.73,34,0.405
"Computing and Informatics",198,23,63,169,2115,97,163,0.53,33.57,0.41
"Journal of Multiple-Valued Logic and Soft Computing",233,20,60,180,1689,106,177,0.5,28.15,0.437
"Theory of Computing Systems",372,35,123,220,2182,179,203,0.81,17.74,0.458
"AI Communications",242,34,26,135,1005,101,129,0.67,38.65,0.461
"International Arab Journal of Information Technology",295,19,108,285,2811,228,285,0.65,26.03,0.466
"Progress in Computational Fluid Dynamics",250,23,39,108,995,63,108,0.61,25.51,0.472
"Discrete Optimization",539,28,42,106,964,87,106,0.69,22.95,0.48
"Computational Complexity",381,32,30,56,825,53,52,1,27.5,0.487
"IEICE Transactions on Information and Systems",195,45,398,1163,8127,670,1101,0.63,20.42,0.5
"Neural Network World",162,22,29,102,918,73,97,0.82,31.66,0.5
"IEEE Latin America Transactions",253,16,297,1388,7264,857,1388,0.62,24.46,0.502
"Logical Methods in Computer Science",391,28,99,210,3401,259,210,1.09,34.35,0.508
"Defence Science Journal",214,22,120,241,1972,166,234,0.64,16.43,0.51
"Journal of Cellular Automata",254,11,14,88,298,43,81,0.52,21.29,0.511
"Design Automation for Embedded Systems",172,26,16,51,418,45,46,1.06,26.13,0.516
"Theory and Decision",583,30,82,189,1768,130,187,0.58,21.56,0.522
"Journal of Imaging Science and Technology",237,39,57,138,1505,80,124,0.8,26.4,0.535
"Journal of Computer and Systems Sciences International",316,17,88,229,1675,146,228,0.58,19.03,0.554
"Digital Scholarship in the Humanities",259,6,87,96,3110,83,92,0.9,35.75,0.563
"Advances in Mathematics of Communications",421,15,62,130,1160,79,128,0.61,18.71,0.564
"International Journal on Artificial Intelligence Tools",195,22,54,191,2168,131,179,0.71,40.15,0.565
"Computer Music Journal",216,35,29,89,426,63,63,0.97,14.69,0.568
"Discrete Mathematics and Theoretical Computer Science",593,18,47,132,1040,93,132,0.71,22.13,0.569
"Computational Methods and Function Theory",726,8,29,121,679,75,116,0.58,23.41,0.571
"Journal of Systems Engineering and Electronics",253,25,127,363,3298,334,363,0.78,25.97,0.572
"Turkish Journal of Electrical Engineering and Computer Sciences",208,23,205,627,4855,445,627,0.66,23.68,0.58
"Mathematical and Computer Modelling of Dynamical Systems",218,28,37,90,1045,77,87,0.96,28.24,0.586
"Applied Artificial Intelligence",273,50,40,141,1499,147,135,0.92,37.48,0.587
"KSII Transactions on Internet and Information Systems",185,17,328,890,9593,628,889,0.68,29.25,0.611
"Computer Science and Information Systems",229,19,45,199,1711,194,192,0.95,38.02,0.613
"Journal of Global Information Management",232,36,18,45,1056,65,45,1.65,58.67,0.613
"IEEE Annals of the History of Computing",226,20,31,115,1436,38,98,0.45,46.32,0.619
"Kybernetika",321,31,64,182,1678,119,177,0.66,26.22,0.632
"Journal of Logical and Algebraic Methods in Programming",325,7,48,135,1660,113,116,1.02,34.58,0.634
"IET Computers and Digital Techniques",209,39,26,116,684,130,108,0.86,26.31,0.639
"Computational and Mathematical Organization Theory",186,23,35,61,1259,46,60,0.68,35.97,0.641
"Operations Research Letters",669,63,123,395,2153,324,392,0.73,17.5,0.643
"International Journal of Ad Hoc and Ubiquitous Computing",210,19,66,198,2029,157,192,0.7,30.74,0.648
"Malaysian Journal of Computer Science",290,15,20,60,764,42,60,0.6,38.2,0.65
"Intelligent Automation and Soft Computing",183,22,146,177,1867,108,165,0.65,12.79,0.652
"International Journal of Data Mining and Bioinformatics",217,17,51,187,1875,127,187,0.74,36.76,0.652
"Constraints",288,39,26,72,857,86,64,1.62,32.96,0.66
"Economic Computation and Economic Cybernetics Studies and Research",321,13,74,200,1510,155,200,0.83,20.41,0.664
"Algorithmica",560,64,218,384,4420,481,363,1.24,20.28,0.667
"Ecological Psychology",570,42,19,67,964,91,63,0.79,50.74,0.667
"Intelligent Data Analysis",281,41,89,247,3179,198,223,0.83,35.72,0.691
"Computer Animation and Virtual Worlds",216,41,61,160,1688,139,148,0.89,27.67,0.697
"Control Engineering and Applied Informatics",289,11,48,142,1316,152,142,0.96,27.42,0.698
"Advances in Electrical and Computer Engineering",200,19,63,216,1902,182,216,0.86,30.19,0.699
"Journal of Functional Programming",458,45,25,59,651,55,41,1.41,26.04,0.703
"Technology and Health Care",279,39,166,465,3912,386,453,0.82,23.57,0.717
"New Generation Computing",242,25,23,56,688,45,53,0.84,29.91,0.722
"Fundamenta Informaticae",332,57,156,500,4522,468,469,1.02,28.99,0.725
"Journal of Consciousness Studies",312,57,68,227,2893,139,208,0.77,42.54,0.725
"ACM Transactions on Computational Logic",573,43,34,101,1361,171,100,1.55,40.03,0.731
"ETRI Journal",232,40,87,390,2122,401,388,1,24.39,0.739
"Journal of Logic and Computation",381,48,85,152,2656,124,144,0.91,31.25,0.74
"Science of Computer Programming",300,58,105,545,2748,661,468,1.2,26.17,0.74
"Journal of Organizational and End User Computing",342,27,17,55,789,81,55,1.41,46.41,0.744
"Journal of Computational Finance",503,8,21,50,642,34,49,0.61,30.57,0.758
"ACM Transactions on Programming Languages and Systems",533,63,20,42,1117,109,41,1.96,55.85,0.759
"Library Hi Tech",427,31,50,133,1750,116,133,0.78,35,0.759
"Electronic Journal of Combinatorics",961,37,224,675,4067,436,673,0.64,18.16,0.762
"Journal of Systems Science and Systems Engineering",435,20,43,75,1570,104,72,1.04,36.51,0.766
"Theoretical Computer Science",488,100,426,1463,9765,1537,1346,1.13,22.92,0.772
"Applied Ontology",491,24,17,44,497,69,42,1.52,29.24,0.774
"Journal of Theoretical and Applied Electronic Commerce Research",477,21,18,58,836,117,51,1.13,46.44,0.774
"Journal of Electronic Imaging",238,57,229,612,8526,606,604,0.96,37.23,0.78
"International Journal of Data Warehousing and Mining",267,19,16,48,498,58,48,1.38,31.13,0.781
"Biologically Inspired Cognitive Architectures",259,12,28,114,1376,111,112,1.11,49.14,0.787
"Computer Journal",319,52,100,420,3811,460,411,0.98,38.11,0.792
"Information Processing Letters",412,66,122,453,1841,459,448,1.11,15.09,0.793
"Systems Engineering",285,39,32,110,1804,130,103,1.17,56.38,0.797
"Complex Analysis and Operator Theory",663,15,161,260,2015,180,250,0.74,12.52,0.799
"Analog Integrated Circuits and Signal Processing",211,42,217,680,4470,600,594,1.16,20.6,0.8
"Electronic Library",440,32,73,183,3284,180,183,0.97,44.99,0.8
"Information Technology and Control",240,14,41,120,1260,112,119,0.97,30.73,0.8
"Natural Language Engineering",264,48,40,86,1796,111,82,1.21,44.9,0.8
"International Journal of Computational Methods",459,27,152,225,2414,284,219,0.99,15.88,0.805
"Interacting with Computers",292,70,52,133,3416,179,126,1.34,65.69,0.809
"International Journal of Aviation Psychology",242,37,0,60,0,37,38,0.81,0,0.824
"Formal Methods in System Design",445,44,48,64,1192,115,63,1.88,24.83,0.825
"Numerical Functional Analysis and Optimization",544,38,91,255,2148,206,254,0.8,23.6,0.827
"IETE Journal of Research",187,18,170,232,2334,199,222,0.86,13.73,0.829
"Distributed Computing",446,40,45,76,750,112,70,1.52,16.67,0.84
